,X,TrialId,Prime,AOI1,AOI2,FirstFixation,FirstFixationTime,PrimeWord,PrimeNasal,PrimeVoiced,CompetitorWord,CompetitorNasal,CompetitorVoiced,PrimeTime,CompetitorNas,Subject
156,156,158,said,said,send,205,683.3333333,said,FALSE,TRUE,send,TRUE,TRUE,NA,Nasal,1
157,157,159,sent_late,send,sent,208,693.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,1
158,158,160,sent_early,sent,set,197,656.6666667,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,1
159,159,161,bent_late,bend,bent,199,663.3333333,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,1
160,160,162,lent_early,let,lent,104,346.6666667,lent,TRUE,FALSE,let,FALSE,FALSE,early,Oral,1
161,161,163,bend_late,bed,bend,163,543.3333333,bend,TRUE,TRUE,bed,FALSE,TRUE,late,Oral,1
162,162,164,bend_early,bent,bend,201,670,bend,TRUE,TRUE,bent,TRUE,FALSE,early,Nasal,1
163,163,165,bed,bet,bed,177,590,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,1
164,164,166,bend_late,bend,bed,171,570,bend,TRUE,TRUE,bed,FALSE,TRUE,late,Oral,1
165,165,167,said,send,said,196,653.3333333,said,FALSE,TRUE,send,TRUE,TRUE,NA,Nasal,1
166,166,169,bend_early,bed,bend,144,480,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,1
167,167,170,bend_early,bend,bed,181,603.3333333,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,1
168,168,171,bend_early,bend,bent,192,640,bend,TRUE,TRUE,bent,TRUE,FALSE,early,Nasal,1
169,169,172,send_early,send,said,211,703.3333333,send,TRUE,TRUE,said,FALSE,TRUE,early,Oral,1
170,170,173,lent_late,lend,lent,190,633.3333333,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,1
171,171,174,sent_early,sent,send,197,656.6666667,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,1
172,172,175,bend_late,bent,bend,201,670,bend,TRUE,TRUE,bent,TRUE,FALSE,late,Nasal,1
173,173,176,bet,bed,bet,143,476.6666667,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,1
174,174,177,send_late,sent,send,109,363.3333333,send,TRUE,TRUE,sent,TRUE,FALSE,late,Nasal,1
175,175,178,bend_late,bend,bent,187,623.3333333,bend,TRUE,TRUE,bent,TRUE,FALSE,late,Nasal,1
176,176,179,let,let,lent,150,500,let,FALSE,FALSE,lent,TRUE,FALSE,NA,Nasal,1
177,177,180,set,sent,set,175,583.3333333,set,FALSE,FALSE,sent,TRUE,FALSE,NA,Nasal,1
178,178,181,bent_early,bent,bet,123,410,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,1
179,179,182,bet,bet,bent,204,680,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,1
180,180,183,send_early,sent,send,129,430,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,1
181,181,184,bent_early,bent,bend,153,510,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,1
182,182,185,lend_late,led,lend,292,973.3333333,lend,TRUE,TRUE,led,FALSE,TRUE,late,Oral,1
183,183,186,said,set,said,207,690,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,1
184,184,187,sent_early,set,sent,253,843.3333333,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,1
185,185,188,lent_early,lent,let,174,580,lent,TRUE,FALSE,let,FALSE,FALSE,early,Oral,1
186,186,189,let,let,led,192,640,let,FALSE,FALSE,led,FALSE,TRUE,NA,Oral,1
187,187,190,set,set,sent,205,683.3333333,set,FALSE,FALSE,sent,TRUE,FALSE,NA,Nasal,1
